,City,RegionName,State,PTR_6_months,10Year,5Year,YOY,three_bed_buy_2016,three_bed_buy_2017,three_bed_rent_2016,three_bed_rent_2017,rent_change,buy_change
228,Miramar,33027,FL,11.571666666666665,-0.0107663133664306,0.105823977427289,0.0440827399118345,310800.0,326300.0,2100.0,2050.0,-0.023809523809523808,0.04987129987129987
280,Port Saint Lucie,34953,FL,11.603333333333333,-0.00953874683965705,0.14183401424701997,0.0915907873594001,175800.0,192700.0,1400.0,1500.0,0.07142857142857142,0.09613196814562003
1562,Kissimmee,34746,FL,11.621666666666668,-0.0305858598433156,0.0901233111749436,0.0815760266370699,165700.0,179100.0,1297.5,1375.0,0.05973025048169557,0.08086904043452021
198,The Crossings,33186,FL,11.636666666666665,-0.014027119758013,0.10644939750192402,0.0722663639803254,268900.0,287700.0,1854.5,1950.0,0.051496360204906985,0.06991446634436593
452,Charlotte,28205,NC,11.648333333333333,0.0264300264631545,0.0909000813394469,0.139696586599241,160900.0,184100.0,1325.0,1300.0,-0.018867924528301886,0.14418893722809198
48,Duluth,30096,GA,11.651666666666666,0.00861581753147345,0.10631970004834801,0.0772946859903382,172100.0,185500.0,1327.5,1460.0,0.09981167608286252,0.0778617083091226
827,Newport News,23608,VA,11.69,-0.0169907296215164,0.00406281521806773,0.013953488372093002,168300.0,169900.0,1225.0,1200.0,-0.02040816326530612,0.009506833036244802
3717,Richmond Hill,31324,GA,11.74,-0.000392165904331221,0.0243960351281762,0.0177777777777778,190600.0,194800.0,1425.0,1400.0,-0.017543859649122806,0.022035676810073453
1514,Estero,33928,FL,11.751666666666667,0.00106871482695325,0.0712154488403709,-0.0028892455858748,336200.0,332700.0,1975.0,1995.0,0.010126582278481013,-0.01041046995835812
391,Jupiter,33458,FL,11.753333333333332,0.00645350533946387,0.0871669168596183,0.0646464646464646,315600.0,333400.0,2200.0,2250.0,0.022727272727272728,0.056400506970849175
514,Miami Beach,33141,FL,11.755,-0.0277112439884756,0.116327367942387,0.00375234521575985,795600.0,846000.0,3500.0,3400.0,-0.02857142857142857,0.06334841628959276
1584,Anchorage,99504,AK,11.76,-0.0027651690706498302,0.0230505015395537,0.00308641975308642,255400.0,255600.0,1650.0,1725.0,0.045454545454545456,0.0007830853563038371
2721,Weston,33326,FL,11.761666666666665,-0.0075545981237678,0.0968309072380864,0.0314017481385562,327600.0,337500.0,2250.0,2200.0,-0.022222222222222223,0.03021978021978022
775,Wylie,75098,TX,11.770000000000001,0.04070374050948301,0.0975613311786743,0.114337568058076,193100.0,218000.0,1460.0,1586.0,0.0863013698630137,0.12894873122734335
661,Jacksonville,28546,NC,11.780000000000001,-0.0018216156666515102,-0.0174481621544056,0.0220768601798855,119200.0,122900.0,937.5,950.0,0.013333333333333334,0.03104026845637584
47,Lawrenceville,30043,GA,11.81,0.00892784608515984,0.0983143028726807,0.0968733982573039,169100.0,181900.0,1300.0,1400.0,0.07692307692307693,0.07569485511531639
1398,Palm Beach Gardens,33410,FL,11.836666666666668,0.00308863625263189,0.10013085017971002,0.0639686684073107,358000.0,373600.0,2400.0,2350.0,-0.020833333333333332,0.04357541899441341
525,Jacksonville,28540,NC,11.838333333333333,-0.00222337169945885,-0.0176725175971503,0.040133779264214,116500.0,121100.0,945.0,900.0,-0.047619047619047616,0.039484978540772535
729,Carrollton,75007,TX,11.878333333333336,0.0436190881216387,0.0951511398884824,0.109122653862942,214000.0,236700.0,1650.0,1785.0,0.08181818181818182,0.10607476635514018
562,Grapevine,76051,TX,11.885,0.0438094770322208,0.0866399436356258,0.0845852384062704,276400.0,299200.0,1950.0,2009.0,0.030256410256410255,0.0824891461649783
13,Nashville,37211,TN,11.928333333333333,0.0429072298727682,0.109661789415301,0.143721633888048,219100.0,240600.0,1595.0,1650.0,0.034482758620689655,0.09812870835235052
2290,Sarasota,34243,FL,11.941666666666668,-0.00111199585900579,0.102675117490339,0.0297973778307509,258800.0,266400.0,1750.0,1750.0,0.0,0.02936630602782071
1000,Doral,33178,FL,11.943333333333333,-0.0136937465562413,0.065314768769424,0.0,324200.0,321700.0,2250.0,2349.0,0.044,-0.0077112893275755705
1458,The Hammocks,33196,FL,11.946666666666667,-0.012337769462027,0.0873256837561804,0.070954211814051,267400.0,286600.0,1950.0,2000.0,0.02564102564102564,0.07180254300673149
773,Cape Coral,33914,FL,11.955,-0.00231429908133707,0.0919774826605235,0.0555767034640274,261600.0,275800.0,1550.0,1800.0,0.16129032258064516,0.054281345565749234
5849,Richlands,28574,NC,11.963333333333333,-0.006754122185846589,-0.0188104190320296,0.0406301824212272,119900.0,124600.0,950.0,947.0,-0.003157894736842105,0.03919933277731443
221,Woodstock,30188,GA,11.963333333333333,0.0155344930023524,0.072932211056066,0.0727831881086622,174200.0,188300.0,1365.0,1400.0,0.02564102564102564,0.0809414466130884
474,Acworth,30101,GA,11.971666666666666,0.00868134180790125,0.076220070455066,0.0760290556900726,166600.0,179900.0,1299.0,1425.0,0.09699769053117784,0.07983193277310924
507,Orlando,32825,FL,11.978333333333333,-0.0130304747451688,0.10742655195982101,0.0971428571428571,179000.0,200200.0,1360.0,1450.0,0.0661764705882353,0.11843575418994413
4136,Citrus Ridge,34747,FL,11.995,-0.0258196542080453,0.0476915146718819,0.0311934900542496,195200.0,200700.0,1625.0,1652.5,0.016923076923076923,0.02817622950819672
6084,Hubert,28539,NC,12.048333333333332,-0.00437507948709492,-0.0163250986652682,0.0,124900.0,124600.0,925.0,925.0,0.0,-0.0024019215372297837
1156,Philadelphia,19128,PA,12.068333333333333,4.31136698499923e-05,0.025254316732104,0.0417602155365963,216400.0,228500.0,1650.0,1650.0,0.0,0.05591497227356747
1195,Jacksonville,32257,FL,12.076666666666668,-0.0020947345267146,0.0752461019436892,0.0896096756459593,180500.0,196500.0,1272.5,1320.0,0.03732809430255403,0.0886426592797784
456,Marietta,30067,GA,12.09666666666667,0.0140381725436294,0.0952230431869252,0.0872093023255814,177100.0,186600.0,1255.0,1332.0,0.06135458167330677,0.053642010163749296
1685,Wright,32547,FL,12.125,-0.0105832242489433,0.0475461755387474,0.0802238805970149,162600.0,174600.0,1200.0,1295.0,0.07916666666666666,0.07380073800738007
3044,Coconut Creek,33073,FL,12.13,-0.0090729982573895,0.0964294689717347,0.0442534224769182,308400.0,320200.0,2220.0,2150.0,-0.03153153153153153,0.03826199740596628
2569,Norfolk,23518,VA,12.135,-0.00955445354001605,0.0219321175392935,0.0418875927889714,180200.0,191300.0,1409.0,1400.0,-0.0063875088715401,0.061598224195338516
464,Jersey City,7305,NJ,12.181666666666667,-0.025735670121934,0.0592756571062489,0.16545532278751598,229300.0,273400.0,1600.0,1650.0,0.03125,0.19232446576537288
34,Chicago,60625,IL,12.223333333333334,-0.0144103191860363,0.0537157246014459,0.0513225424397947,312600.0,324700.0,1772.5,1725.0,-0.02679830747531735,0.03870761356365963
881,Orlando,32837,FL,12.235,-0.0170114880470258,0.10168800555592401,0.0895452414439756,197700.0,218600.0,1550.0,1650.0,0.06451612903225806,0.10571573090541224
218,Smyrna,30080,GA,12.245,0.019261253127651,0.10107729578194302,0.100860420650096,208100.0,229400.0,1379.0,1495.0,0.08411892675852067,0.1023546371936569
2033,Hope Mills,28348,NC,12.283333333333333,0.0100511568487716,0.00920621293427204,0.0332610267534346,106400.0,114200.0,995.0,995.0,0.0,0.07330827067669173
3823,Davie,33325,FL,12.326666666666666,-0.007116584699689571,0.0914785465822918,0.039044289044289,290600.0,311900.0,2250.0,2167.5,-0.03666666666666667,0.07329662766689608
3572,Boca Raton,33487,FL,12.348333333333331,-0.00498795651133965,0.0892349752678758,0.0369894682763935,443000.0,444100.0,3000.0,3000.0,0.0,0.0024830699774266367
1553,Buford,30519,GA,12.35,0.00787712349419767,0.09159743518358199,0.0925747348119576,185400.0,199600.0,1400.0,1525.0,0.08928571428571429,0.07659115426105717
